,News,All,SVO
0,20150910_829,日本ETF掛牌 台灣資本市場首例國內第一檔日本ETF今天在證交所掛牌，由富邦投信發行的日本槓桿反向ETF，追蹤日本東証指數，且是兩倍槓桿的ETF。投資人看多日股時，可以買進兩倍槓桿ETF，看空日股則可買進反向型ETF，輕鬆參與日股行情。證交所推估，這兩檔日股ETF未來在次級市場每年的成交金額大約308億，除了挹助證交稅收益，也將為台灣資本市場增添活力。（張佳琪報導）台灣第一檔日股ETF正式掛牌，發行商是富邦投信，且一次推出槓桿兩倍ETF以及反向ETF，方便做多、做空。新發行的ETF追蹤日本東証指數，富邦投信選擇日股做為發行標的，主要是因為日股是亞股當中波動率僅次於中國A股的市場，但流動性又非常好，是各機構法人鐘情的成熟市場。證交所總經理林火燈表示，日本ETF的發行象徵台日資本市場的進一步合作，也落實政府金融替代政策的推動。林火燈說：「我相信很多人可同意，台灣與日本之間有太多理由讓我們相信，我們的資本市場有更多緊密合作的空間」。發行商針對日本ETF採取完全匯率避險，降低匯率因素的風險，以更貼近指數表現。證交所指出，先前6檔上市的槓桿及反向型ETF月平均成交值周轉率240%，推估日本ETF未來在次級市場每年成交金額大約308億。（照片：證交所提供）,"[['日本槓桿', '反向', 'ETF'], ['投資人', '買進', '槓桿ETF'], ['發行商', '是', '富邦投信'], ['富邦投信', '選擇', '日股'], ['富邦投信', '選擇', '日股'], ['ETF追蹤日本東證指數', '是因爲', '日股是亞股當中波動率僅次於中國A股市場'], ['日股', '是', '亞股當中波動率僅次於中國A股市場'], ['亞股當中波動率', '僅次於', '中國A股'], ['亞股當中波動率', '僅次於', '中國A股'], ['證交所總經理林火燈', '表示', '象徵'], ['日本ETF發行', '象徵', '進一步合作'], ['臺灣之間', '有', '太多理由讓'], ['我們資本市場', '有', '合作空間'], ['發行商', '採取', '匯率避險'], ['發行商', '採取以', '貼近指數表現'], ['證交所', '指出', '成交值']]"
0,20150910_830,現貨黃金震蕩走低，市場聚焦達沃斯論壇周四（9月10日）國際現貨亞市盤初在1106美元/盎司附近。周三(9月9日)金價大幅下行，亞市盤中觸及日內高點1125.40美元/盎司后震盪走低，跌向1120美元/盎司水平。美國勞工部(dol)上周五公布的8月非農就業報告沒有明晰美聯儲近十年來首次加息的時間點，市場目前正在等待9月16-17日的貨幣政策會議后選擇方向。周三最高1125.10，收盤1107.20，最低1100.90。周三受壓大跌，並且下行動力充足，市場主動沽盤力量再次增強，整體走勢維持在下跌頻道中。目前已經失守1110美元關口，維持弱勢格局不變。日線圖macd雙線指標中，雙線維持向下，綠色能量柱增長，市場空方力量仍然比較強，將會持續打壓金價走勢。日線圖各條均線呈現空頭排列，相應的kd指標中，雙線維持在超賣區位置，表明市場空頭力量正在累積，將進一步打壓走勢。大連召開的夏季達沃斯論壇吸引了全球投資者的目光，李克強總理表示，不會為一些經濟指標的短期波動而起舞，也不會掉以輕心，而是適時適度預調微調，加大定向調控的力度。中國政府有能力，保持經濟中高速增長、邁向中高階水平。李克強還指出，沒有持續貶值的基礎，不希望通過貶值來刺激出口，更不愿意看到“貨幣戰”在世界發生。李克強的講話穩定了投資者的情緒，增強投資者對中國經濟的信心，市場避險情緒降溫，受壓走弱。希臘方面，希臘債務問題仍然令投資者擔憂，歐盟容克警告希臘未來的政府需遵守救助協議。容克補充表示，歐盟歡迎希臘，近幾個月有關希臘應當退歐的說法讓我深感不安。希臘債務問題仍然比較嚴峻，匯價受到打壓，為走勢帶來支撐，進而打壓了金價走勢。09:30 中國8月cpi19:00 英國央行公布利率決議20:30 美國上周初請失業金人數北京時間10:12，現貨報價1106.80美元/盎司。時間：2015-09-10來源：華譽環亞編輯：tina,"[['亞市盤中', '觸及', '盎司水平'], ['非農就業報告', '沒有', '加息時間點'], ['市場', '等待', '選擇方向'], ['整體走勢', '維持在', '下跌頻道中'], ['各條均線', '呈現', '空頭排列'], ['雙線', '維持在', '超賣區位置'], ['召開夏季達沃斯論壇', '吸引', '全球投資者目光'], ['總理李克強', '表示', '起舞'], ['中國政府', '有', '能力'], ['李克強', '指出', '希望刺激出口'], ['李克強講話', '穩定', '投資者情緒'], ['容克補充', '表示', '歐盟歡迎希臘'], ['歐盟', '歡迎', '希臘'], ['希臘', '退', '歐'], ['應當', '退', '歐'], ['匯價', '受到', '打壓']]"
0,20150910_831,李克強：我們沒有超發貨幣 沒有搞大規模強刺激2015年夏季達沃斯論壇於9月9號至11號在中國大連舉行。10日上午10:45，國務院總理李克強出席夏季達沃斯論壇開幕式。李克強表示，當前，我們也正在采取必要的定向調控、相機調控、精準調控措施。主要是縮小短期波幅，防止產生傳導、放大效應。一旦出現滑出合理區間的跡象，我們將有足夠的能力來應對，中國經濟不會出現“硬著陸”，這不是空話。近幾年，盡管經濟下行壓力較大，但我們沒有超發貨幣，沒有搞大規模強刺激，主要依靠改革增強經濟活力，既穩定了經濟，也為下一步調控留下了空間。中國中央政府財政赤字率在世界主要經濟體中是較低的。中國創新宏觀調控政策工具箱里的工具還有不少，就像下圍棋一樣，既落好眼前每個子、有針對性地出招，頂住當前經濟下行壓力，又要留有后手、謀勢蓄勢，以促進經濟長期持續健康發展。,"[['我們', '沒有', '超發貨幣'], ['沒有', '搞', '強刺激'], ['李克強', '表示', '我們採取定向調控措施'], ['我們', '採取', '定向調控措施'], ['我們', '有', '足夠能力'], ['中國經濟', '出現', '硬著陸'], ['這', '不是', '空話'], ['我們', '沒有', '發貨幣'], ['中國中央政府財政赤字率', '是', '低的'], ['宏觀調控政策工具箱裏工具', '還有', '不少']]"
0,20150910_832,光靠蘋果3D Touch仍不夠？陸廠競價過激 宸鴻遭看衰MoneyDJ新聞 2015-09-10 12:05:19 記者 郭妍希 報導蘋果(Apple Inc.)最新推出的iPhone 6S、iPhone 6S Plus擁有運算速度更快的處理器、更優異的相機鏡頭，並支援速度更快的WiFi。最重要的是，蘋果發表了可以辨別輕觸、重壓差異的壓力觸控感應技術「3D Touch」。由於蘋果向來是業界領導者，因此可以預見其他智慧型手機也會紛紛跟進使用。然而，台灣的宸鴻光電(3673)雖普遍被大家認為是蘋果壓力觸控感應技術的供應商，但卻仍遭分析師看衰。barron`s.com 9日報導，大和資本市場發表研究報告調降宸鴻的投資評等至「觀望」，主因蘋果以外的業務面臨了激烈競爭。大和指出，由於採用內嵌式(In-cell)觸控技術的液晶面板、AMOLED螢幕在業界的價格競爭非常激烈，因此宸鴻的TOL觸控面板也面臨中國品牌的激烈競價，預期宸鴻2015年對蘋果以外智慧型手機的產品出貨量恐將下滑20-30%、比之前預期的單位數年減率還要差。華爾街日報(WSJ)曾於3月報導，大和資本市場當時曾指出，Force Touch較適合大尺寸螢幕iPhone、可望創造出更多具創意的遊戲軟體。例如，鋼琴軟體可藉由Force Touch讓玩家彈出更多不同的聲音。iPhone 6s剛好趕上蘋果產品的「換機週期」，而此有望推升iPhone 6s將成為蘋果史上最暢銷的iPhone產品。日本蘋果情報網站iPhone Mania 6日轉述海外媒體Forbes的報導指出，眾所皆知，智慧手機的換機週期一般約18-24個月，而iPhone的換機週期也是如此，例如美國iPhone的換機週期為25個月、中國較短為19個月，而iPhone 6s因剛好趕上iPhone產品的換機週期，故銷售量有望打破歷代iPhone產品的紀錄。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。,"[['宸鴻', '遭', ' 2015-09-1012'], ['iPhone6SPlus', '擁有', '快處理器'], ['重要的', '是', '蘋果發表3DTouch'], ['蘋果', '發表', '3DTouch'], ['可以', '辨別', '輕觸'], ['蘋果', '是', '業界領導者'], ['臺灣宸鴻光電3673', '認爲', '是感應技術供應商'], ['資本市場', '發表', '研究報告'], ['大和', '指出', '觸控面板面臨激烈競價'], ['觸控面板', '面臨', '激烈競價'], ['大和資本市場', '指出', 'ForceTouch適合螢幕iPhone'], ['ForceTouch', '適合', '螢幕iPhone'], ['更多', '具', '創意'], ['iPhone6s', '趕上', '換機週期'], ['有望推 6s', '成爲', 'iPhone產品'], ['情報網站iPhoneMania', '轉述', '海外媒體Forbes報導'], ['衆', '皆知', '約'], ['換機週期', '約', '24個月'], ['換機週期', '也是', '如此'], ['換機週期', '爲', '25個月'], ['中國', '爲', '19個月'], ['銷售量', '打破', 'iPhone產品紀錄']]"
0,20150910_833,F-IET英特磊旺季到 8月營收飆歷史次高 9月挑戰破紀錄F-IET英特磊()8月合併營收8043萬元，年增20.45%，為歷史次高紀錄，但月減1.74%，IET表示，每年第三季是傳統旺季，9月營收有信心維持8千萬以上，有機會再挑戰歷史新高。F-IET指出，在砷化鎵方面，今年英特磊成功切入歐洲最強的汽車防撞雷達磊晶片廠UMS以及美國TriQuint德州廠，不但獨家供貨，且產品穩定出貨，並持續成長。隨著先進駕駛輔助系統(ADAS)發展的成熟，市調機構IHS預估，2015年全球ADAS相關晶片和感測器產值將達19億美元，比2014年成長18%，到2020年，更可上看40億美元，是2015年的兩倍以上。F-IET表示，至於磷化銦部分，由於是德科技(Key Sight Technology)高頻量測儀器相關新訂單在第三季逐漸貢獻營收；至於新紅外材料(CZT)開發也是今年的重點；CZT不但可用於高端特殊應用，也可廣泛用於癌症篩檢的正子電腦斷層掃描，目前獲得特殊應用供應鏈大廠研磨技術共同開發計畫，未來可望新添營運動能。法人認為，英特磊以MBE技術在諸多高頻應用磊晶片領域站穩腳步後，用更多高毛利及穩定出貨的產品組合，為投資人創造最大的投資利益。,"[['9月', '挑戰', '破紀錄F'], ['IET', '表示', '每年第三季是傳統旺季'], ['每年第三季', '是', '傳統旺季'], ['營收有信心', '維持', '有機會'], ['FIET', '指出', '英特磊切入磊晶片廠UMS'], ['英特磊', '切入', '磊晶片廠UMS'], ['市調機構IHS', '預估', '相關晶片達19億美元'], ['相關晶片', '達', '19億美元'], ['FIET', '表示', '新訂單貢獻營收'], ['新訂單', '貢獻', '營收'], ['開發', '也是', '今年重點'], ['CZT', '可用於', '特殊應用'], ['法人', '認爲', '英特磊創造投資利益'], ['磊晶片領域', '站穩', '腳步'], ['英特磊', '創造', '投資利益']]"
0,20150910_834,長盛科技8月營收0.92億元年增21.44% 1— 8月達7.46億元長盛科技()2015年 8月營收資料(單位:千元),[]
0,20150910_835,鎧鉅8月營收0.19億元年增7.09% 1— 8月達1.45億元鎧鉅()2015年 8月營收資料(單位:千元),[]
0,20150910_836,首檔日股ETF掛牌 可望為證券市場帶來9000多萬元收入追蹤日本東証指數(TOPIX)之槓桿及反向型ETF，今(10)日正式在證交所掛牌上市，此新商品的問世，不僅是首次日本ETF在台灣掛牌上市，也意味著台日資本市場合作進入一個新的里程碑，證交所表示，此2檔ETF已在8月24日完成募集，募集金額共計10.7億元，將為證券市場帶來9000多萬收入，可望提昇臺灣經濟動能。證交所表示，從投資人角度來看，基於資產配置及市場輪動等因素，國人確實有投資日本市場之需求，證券商公會統計，今年1至7月台灣經由複委託投資日本有價證券之總交易金額約109億元，其中股票104億元，ETF約5億元，東証指數相關ETF的上市，為欲參與日本市場之投資人提供成本低廉、且有效率的投資新管道，協助國人達成理財多元化的目標。另以目前6檔上市之槓桿及反向型ETF之月均成交值周轉率240%，證交所推估此2檔ETF未來次級市場每年成交金額約308億元，因交易而衍生之證交稅稅收概估約3080萬元，將為證券商、交易所與集保結算所等周邊單位帶來相關手續費收入約8778萬元，同時也為ETF發行人帶來每年約1059萬元之經理費收入，對國家、整體市場和證券相關產業而言，延伸出許多經濟效益，增加證券市場動能，同時有助將龐大的資金和交易留在國內市場。,"[['ETF掛牌', '帶來', '追蹤日本東證指數TOPIX槓桿'], ['ETF', '完成', '募集'], ['募集金額', '帶來', '9000多萬收入'], ['國人', '有', '日本市場需求'], ['1臺灣', '投資', '日本有價證券'], ['經由復委託', '投資', '日本有價證券'], ['欲', '參與', '日本市場'], ['證交所', '推估', '308億元'], ['概估約3080萬元', '帶來', '相關手續費']]"
0,20150910_837,"【個股信息】通力電子中標「戶戶通」工程通力電子()公布，其屬下全資子公司中標內蒙古自治區廣播電視直播衛星「戶戶通」工程，中標金額達約2,670萬，這是通力電子自2012年以來在內蒙古自治區?近60萬戶農牧民提供直播衛星「戶戶通」?品和服務後，持續?自治區廣大農牧民提供直播衛星?品與服務，也?內蒙古自治區十個全覆蓋工程作出貢獻。同期，該子公司還中標「2015年中央廣播電視節目無線數字化覆蓋工程項目衛星信號源接收設備」，中標金額約1,600萬通力電子，這標誌著通力電子從傳統的終端設備供應商成功擴展為前端及終端設備的供應商，也是業界對通力電子的研發和工業能力的認可；同時也標誌著通力電子正式進入了科技含量極高的無線覆蓋前端設備領域。全國無線覆蓋工程是國家以財政投入方式解?中央廣播電視節目無線數字化全國覆蓋的重點民生工程，項目建成後將基本形成地面數字電視和數字音頻廣播的全國性覆蓋。全國無線覆蓋工程所帶來的市場機會和前景巨大。更多精彩內容 請登陸財華智庫網 () 財華香港網 ()或現代電視 ()","[['這', '是', '在'], ['60萬戶農牧民', '提供', '直播衛星'], ['廣大農牧民', '提供', '直播衛星'], ['該子公司', '中標', '衛星信號源接收設備'], ['通力電子擴展', '也是', '對研發'], ['通力電子', '進入', '前端設備領域'], ['覆蓋工程', '是', '國家解'], ['項目', '形成', '全國性覆蓋']]"
0,20150910_838,台股盤中─外資回頭狂買威力仍在 大盤換檔再攻台北股市今天在出現大漲之後的過關之後拉回修正，但包括張陳浩及簡伯儀等證券分析師一致強調，9月10日的台北股市集中市場拉回整理型態中，展現出相對的強勢，同時，集中市場加權股價指數仍維持在月線之上整理。台北股市集中市場加權股價指數今天早盤以8247.64點開出，最低8214.5點，最高8274.82點，預估全場成交值為854億元，在8大類股中以電子類股大跌1%的跌幅最重，而食品類股漲幅0.99%最高，食品類股中以統一()股價的表現最為最強勢。在美商蘋果公司昨晚發表其iPad、iPhone 6s新產品之下，今天的台北股市蘋果概念股如大立光()、可成()等重裝股表現弱勢，相對有利多出盡的表現。會計師、證券及期貨分析師張陳浩強調，今天台北股市盤中的兩大重心在於新藥開發的基亞()、智擎()、浩鼎()及台微體()；另外，蘋果開發的NFC(近場無線通訊)功能概念股如力旺()、同亨()等受到重視；同時，希華()因子公司韋僑科技()，其IPO案已獲OTC審查通過，此一專業RFID電子標籤全製程製造商預計將在2015年第4季完成上櫃掛牌並在今天召開法人說明會，希華股價也獲推升。,"[['在', '出現', '大漲'], ['集中市場加權股價指數', '維持', '整理'], ['成交值', '爲', '854億元'], ['重裝股', '表現', '弱勢'], ['會計師張陳浩', '強調', '兩大重心在於)'], ['兩大重心', '在於', ')'], ['無線通訊功能概念股', '受到', '重視'], ['其IPO案', '獲', '審查'], ['全製程製造商', '預計', '完成上櫃'], ['希華股價', '獲', '推升']]"
0,20150910_839,《股市》12:01台股加權 報8255.33點，跌-31.59點或-0.38%《股市》12:01台股加權 報8255.33點，跌-31.59點或-0.38%。免責聲明：本文所載資料僅供參考，並不構成投資建議，鉅亨網對該資料或使用該資料所導致的結果概不承擔任何責任。該資訊若與事實不符，應以商品原交易所之公佈為主。,"[['01臺股加權', '報', '8255.33點'], ['導致結果', '承擔', '任何責任']]"
0,20150910_840,《股市》12:01台股店頭 報114.21點，漲1.03點或0.91%《股市》12:01台股店頭 報114.21點，漲1.03點或0.91%。免責聲明：本文所載資料僅供參考，並不構成投資建議，鉅亨網對該資料或使用該資料所導致的結果概不承擔任何責任。該資訊若與事實不符，應以商品原交易所之公佈為主。,"[['01臺股店頭', '報', '114.21點'], ['01臺股店頭', '報', '114.21點'], ['導致結果', '承擔', '任何責任']]"
