,HighGroup,LowGroup
2011-02-26,1.0,1.0
2011-02-27,1.0,1.0
2011-02-28,0.997,0.9969999999999999
2011-03-01,1.0,1.0
2011-03-02,1.0,1.0
2011-03-03,1.0,1.0
2011-03-04,1.0,1.0
2011-03-05,1.0,1.0
2011-03-06,1.0,1.0
2011-03-07,1.0,1.0
2011-03-08,1.0,1.0
2011-03-09,1.0,1.0
2011-03-10,1.0,1.0
2011-03-11,1.0,1.0
2011-03-12,1.0,1.0
2011-03-13,1.0,1.0
2011-03-14,1.0,1.0
2011-03-15,1.0,1.0
2011-03-16,1.0,1.0
2011-03-17,1.0,1.0
2011-03-18,1.0,1.0
2011-03-19,1.0,1.0
2011-03-20,1.0,1.0
2011-03-21,1.0,1.0
2011-03-22,1.0,1.0
2011-03-23,1.0,1.0
2011-03-24,1.0,1.0
2011-03-25,1.0,1.0
2011-03-26,1.0,1.0
2011-03-27,1.0,1.0
2011-03-28,1.0,1.0
2011-03-29,1.0,1.0
2011-03-30,1.0,1.0
2011-03-31,1.0018705241873855,1.0000765137052696
2011-04-01,1.002602736607933,1.0054253034073832
2011-04-02,1.0,1.0
2011-04-03,1.0,1.0
2011-04-04,1.0,1.0
2011-04-05,1.0,1.0
2011-04-06,1.0128872174499108,1.0104054467686052
2011-04-07,1.009017382648302,1.0023852485049554
2011-04-08,1.0015500681988192,0.9936845834621265
2011-04-09,1.0,1.0
2011-04-10,1.0,1.0
2011-04-11,1.0011562847723239,1.0029628762023544
2011-04-12,0.9829521612946628,0.9800187196163639
2011-04-13,1.0097549440036202,1.0019106718647843
2011-04-14,1.0037923424955164,1.0088212366864273
2011-04-15,0.9940077039705003,0.9862795265646902
2011-04-16,1.0,1.0
2011-04-17,1.0,1.0
2011-04-18,0.9912166721228852,0.9951266231972846
2011-04-19,0.9941107119227369,0.9922747469650288
2011-04-20,1.0120444581480952,1.020804629552808
2011-04-21,1.0249149975170015,1.0109771318665506
2011-04-22,1.0052671381713836,1.0016853622788007
2011-04-23,1.0,1.0
2011-04-24,1.0,1.0
2011-04-25,0.9979089638128821,0.9923673301166042
2011-04-26,1.0028665108789445,1.009618453983725
2011-04-27,1.009054120490131,1.006738507864999
2011-04-28,0.9900325850160112,0.9919841792008164
2011-04-29,1.0008751542267889,0.992458010344379
2011-04-30,1.0,1.0
2011-05-01,1.0,1.0
2011-05-02,1.0,1.0
2011-05-03,0.9960193430334254,0.9843333727158171
2011-05-04,1.0060876458820665,1.0113147606037802
2011-05-05,1.0043451102871666,0.9985434066514527
2011-05-06,0.9985955318689194,0.9989435942110803
2011-05-07,1.0,1.0
2011-05-08,1.0,1.0
2011-05-09,1.0072217840687434,1.0074113650299183
2011-05-10,1.0029506939153898,0.9982669017745286
2011-05-11,1.003773743658419,0.9995559625990766
2011-05-12,1.0015660779811664,1.0016580947742046
2011-05-13,0.9909776630359609,1.0015424930518104
2011-05-14,1.0,1.0
2011-05-15,1.0,1.0
2011-05-16,0.9967247276099334,0.9893908251951233
2011-05-17,0.9942011878028172,0.9902063470525005
2011-05-18,1.0105400255210701,1.0074350097022473
2011-05-19,0.9928290492850105,0.9981010285961958
2011-05-20,0.9893658043821367,0.992641122993934
2011-05-21,1.0,1.0
2011-05-22,1.0,1.0
2011-05-23,0.9930497588540687,0.9854043877501415
2011-05-24,1.0022785283822668,0.9983701381826483
2011-05-25,0.9963658535860553,0.9959530548652503
2011-05-26,1.0035785873484857,1.0109313943615177
2011-05-27,1.0032244048402448,1.005585400677044
2011-05-28,1.0,1.0
2011-05-29,1.0,1.0
2011-05-30,0.9997603136366744,0.9993574073599458
2011-05-31,1.0159345338789436,1.022160805198687
2011-06-01,1.0079894813801817,1.00684372175471
2011-06-02,0.9903584125727707,0.9934406331973832
2011-06-03,1.000074818634822,1.0045045637820047
2011-06-04,1.0,1.0
2011-06-05,1.0,1.0
2011-06-06,1.0,1.0
2011-06-07,0.9936149431030036,0.9986494426137928
2011-06-08,0.9967918381672265,0.9904814531622733
2011-06-09,0.9985800672455553,0.9962659373871706
2011-06-10,0.982742548482804,0.9877399453975351
2011-06-11,1.0,1.0
2011-06-12,1.0,1.0
2011-06-13,0.9820512413405299,0.9823567623579188
2011-06-14,1.0153906257295313,1.0108739110812126
2011-06-15,0.9977559514339343,1.0052139747824016
2011-06-16,0.9810771233396662,0.980204834162176
2011-06-17,0.9969871372759925,0.9953708102998605
2011-06-18,1.0,1.0
2011-06-19,1.0,1.0
2011-06-20,0.9882070720187742,0.9819601799463051
2011-06-21,1.0087876367349613,1.0055242899363759
2011-06-22,1.0084172889483045,1.0064098029749093
2011-06-23,0.9971670270313089,0.9899269840432188
2011-06-24,1.0013861755909512,0.9985144178412567
2011-06-25,1.0,1.0
2011-06-26,1.0,1.0
2011-06-27,0.9976708975600165,1.0033379211312403
2011-06-28,1.0011954743864275,1.0060672685168615
2011-06-29,1.0124330986004644,1.0055434021874767
2011-06-30,1.0143344958485092,1.0072447327401115
2011-07-01,1.0115349853676068,1.0079433830507054
2011-07-02,1.0,1.0
2011-07-03,1.0,1.0
2011-07-04,1.0093786117458428,1.0015773323886654
2011-07-05,1.0084725732426558,0.9940995043918023
2011-07-06,1.0001017794435036,1.0073145979885119
2011-07-07,0.992184889839394,0.9998428826220181
2011-07-08,1.0024714410642077,0.997619062421921
2011-07-09,1.0,1.0
2011-07-10,1.0,1.0
2011-07-11,0.9900087189991975,0.9879086505158656
2011-07-12,0.9776135538007413,0.9750446267565297
2011-07-13,1.0039436525234664,0.9778698958052583
2011-07-14,0.9963570916069054,0.9971627836446068
2011-07-15,1.0117723552772626,1.023131430187115
2011-07-16,1.0,1.0
2011-07-17,1.0,1.0
2011-07-18,0.9936358617945488,0.9943525420606224
2011-07-19,1.0044591370270932,1.0027063769234148
2011-07-20,1.0249731335199797,1.0080593705764724
2011-07-21,1.001067439349487,0.9992578706058916
2011-07-22,1.0080394672989128,1.0025048245415256
2011-07-23,1.0,1.0
2011-07-24,1.0,1.0
2011-07-25,0.9765893854075706,0.9920261206433462
2011-07-26,1.0120388668591287,1.0100480827223568
2011-07-27,1.0071573665814055,1.0069429718806917
2011-07-28,0.998898076047282,1.003314306796853
2011-07-29,0.9886767527959028,0.9990607324010069
2011-07-30,1.0,1.0
2011-07-31,1.0,1.0
2011-08-01,1.0057575268406094,1.0163080704708443
2011-08-02,0.9936215649311725,0.9892452136594315
2011-08-03,0.9805103340228507,0.9862628037438778
2011-08-04,0.972290872124759,0.9844282908033555
2011-08-05,0.9443867120573721,0.9383475180021351
2011-08-06,1.0,1.0
2011-08-07,1.0,1.0
2011-08-08,0.965762352265777,0.947149361400336
2011-08-09,1.0020114474213961,0.9778097889788402
2011-08-10,1.0324957563050607,1.0383549746220997
2011-08-11,0.9899991695342475,0.9963280662162491
2011-08-12,0.9952782789503329,0.9996883568183103
2011-08-13,1.0,1.0
2011-08-14,1.0,1.0
2011-08-15,1.0249122332189646,1.0267639199321
2011-08-16,0.9972643954371849,1.000623000117053
2011-08-17,0.992761748864221,0.983344997529183
2011-08-18,0.9843009591555939,0.97887960157383
2011-08-19,0.9657821924261063,0.9467054486279616
2011-08-20,1.0,1.0
2011-08-21,1.0,1.0
2011-08-22,1.0065069821786286,0.9749213107286325
2011-08-23,1.0301287683696827,1.0392676136440786
2011-08-24,1.0049772939965484,1.0136497521735
2011-08-25,0.985296608696881,0.9878045136100508
2011-08-26,1.0019823535598,1.0045284930733867
2011-08-27,1.0,1.0
2011-08-28,1.0,1.0
2011-08-29,1.0149772502383587,1.0191671516345029
2011-08-30,1.0,1.0
2011-08-31,1.0178621436240316,1.019071413141152
2011-09-01,0.9990555661633651,0.9995870060416749
2011-09-02,1.0036614597475624,0.9981601009675779
2011-09-03,1.0,1.0
2011-09-04,1.0,1.0
2011-09-05,0.9789848182161212,0.9623645898959793
2011-09-06,0.9590812113148324,0.9736289645037408
2011-09-07,1.0183480059348353,1.0217078985331867
2011-09-08,1.0025355905359479,1.0058791847859403
2011-09-09,1.0027552367133223,1.0078500706580868
2011-09-10,1.0,1.0
2011-09-11,1.0,1.0
2011-09-12,1.0,1.0
2011-09-13,0.9709846925544484,0.97603634408378
2011-09-14,0.9760798039987951,0.9684241544336143
2011-09-15,1.0256183565188712,1.0219792537463692
2011-09-16,1.0249455157057097,1.0144838080160428
2011-09-17,1.0,1.0
2011-09-18,1.0,1.0
2011-09-19,0.9837326746418437,0.9874331763904691
2011-09-20,0.9973971477417456,0.9947690377846892
2011-09-21,1.0122328257251818,1.0126476223140477
2011-09-22,0.9767696255908542,0.9655190825060161
2011-09-23,0.9604400970715733,0.964670381931
2011-09-24,1.0,1.0
2011-09-25,1.0,1.0
2011-09-26,0.9633076011215493,0.9674006252307574
2011-09-27,1.0312094761887993,1.029482292933586
2011-09-28,1.0072211228643186,1.0107502786276092
2011-09-29,1.0032192060038676,1.0103834797266864
2011-09-30,1.0060044935227803,1.0045467781711384
2011-10-01,1.0,1.0
2011-10-02,1.0,1.0
2011-10-03,0.9645684965584906,0.9737090799923906
2011-10-04,1.0062919260486018,1.0106813302510178
2011-10-05,0.9871409790803735,1.0004555878128842
2011-10-06,1.0153808349976112,1.0107830620633877
2011-10-07,1.0179948756100239,1.0097273556751294
2011-10-08,1.0,1.0
2011-10-09,1.0,1.0
2011-10-10,1.0,1.0
2011-10-11,1.0334395325012042,1.0350622145207509
2011-10-12,1.009215488079087,1.0021730280670746
2011-10-13,1.010438937816494,1.0190440166993235
2011-10-14,0.9902131412776541,0.9914716998296169
2011-10-15,1.0,1.0
2011-10-16,1.0,1.0
2011-10-17,1.0136055189256967,1.0091075460851788
2011-10-18,0.9845721859437937,0.9799242934324565
2011-10-19,1.0009023586826247,0.9948681131086179
2011-10-20,0.9832145502934265,0.9818375061000724
2011-10-21,1.0106361034671594,0.9917019781795785
2011-10-22,1.0,1.0
2011-10-23,1.0,1.0
2011-10-24,1.0335982762712452,1.0277723727881316
2011-10-25,0.9960350815722666,0.9974295355628686
2011-10-26,1.0121258560724493,0.998212645717145
2011-10-27,1.0161222530732208,1.01351513031655
2011-10-28,1.0036399187329783,1.0086873973400121
2011-10-29,1.0,1.0
2011-10-30,1.0,1.0
2011-10-31,0.9954538711990246,0.9810503171997044
2011-11-01,1.008701034415181,1.003851484665196
2011-11-02,1.000478641815349,1.0010593808789843
2011-11-03,0.9899940557486836,0.9876291207717179
2011-11-04,1.025156032001126,1.0169433231121823
2011-11-05,1.0,1.0
2011-11-06,1.0,1.0
2011-11-07,1.0084614275305495,1.0080602578849174
2011-11-08,0.9908534751152731,0.9930216492044672
2011-11-09,0.9913169087701534,0.9926558156004435
2011-11-10,0.9594157551148926,0.9620631190528898
2011-11-11,1.018984171993584,1.0061941765176134
2011-11-12,1.0,1.0
2011-11-13,1.0,1.0
2011-11-14,1.0238227527515331,1.0125708053603866
2011-11-15,0.9938961282855007,0.9910553009375241
2011-11-16,0.9825698138999059,0.9956871630217903
2011-11-17,1.0016622068463306,1.0025188829837028
2011-11-18,0.9816635672282711,0.9886910945879938
2011-11-19,1.0,1.0
2011-11-20,1.0,1.0
2011-11-21,0.9705142937745644,0.9668070905228064
2011-11-22,0.9956667079252088,0.9828662172298585
2011-11-23,0.972370259802428,0.9762271886506996
2011-11-24,1.0267496445646136,1.0105685490827827
2011-11-25,0.9974722197553111,0.9969235974221339
2011-11-26,1.0,1.0
2011-11-27,1.0,1.0
2011-11-28,1.0181594008767565,1.0113850300643041
2011-11-29,1.0054169785344882,1.0159454631948974
2011-11-30,0.9816305306327916,0.9827813478101014
2011-12-01,1.0341079588520985,1.0384544426131344
2011-12-02,0.9985475023396514,0.9984231047855755
2011-12-03,1.0,1.0
2011-12-04,1.0,1.0
2011-12-05,0.9808617018734912,1.00680038891482
2011-12-06,0.9758462908063485,0.9786579226821213
2011-12-07,1.003263730292175,1.0058975333438347
2011-12-08,0.9868744887901402,0.9849754914800242
2011-12-09,0.9825600162801037,0.9873686882304845
2011-12-10,1.0,1.0
2011-12-11,1.0,1.0
2011-12-12,1.0055583316861487,1.002862519866829
2011-12-13,0.9870787243356767,0.9862588944019812
2011-12-14,1.0129747167353105,1.005827427651249
2011-12-15,0.9789055923501638,0.9770437559478847
2011-12-16,1.0049968631416724,1.0014820959156414
2011-12-17,1.0,1.0
2011-12-18,1.0,1.0
2011-12-19,0.973638109523802,0.9794808690573584
2011-12-20,1.010076832331325,1.0191025714391424
2011-12-21,1.0499992869579864,1.0610473537052068
2011-12-22,0.9976322343921841,0.9914182168471966
2011-12-23,1.029399169552231,1.0338618058357658
2011-12-24,1.0,1.0
2011-12-25,1.0,1.0
2011-12-26,0.9942400560769118,1.007258673931399
2011-12-27,1.0082591309576248,0.9963617904773779
2011-12-28,0.9958899991761944,1.000864513079924
2011-12-29,1.0023387120339318,1.0006620896573164
2011-12-30,1.0020851365791068,0.9917211888944235
2011-12-31,1.0,1.0
2012-01-01,1.0,1.0
2012-01-02,0.980124255766145,0.9824568525796622
2012-01-03,1.0199367991988502,1.0210734060491429
2012-01-04,1.0090957092923234,1.0131919093395512
2012-01-05,1.01203794749982,1.0090477804604903
2012-01-06,1.0098367806135822,0.99005819827287
2012-01-07,1.0,1.0
2012-01-08,1.0,1.0
2012-01-09,1.0046657633455698,0.9944524967237295
2012-01-10,1.0172053678128896,1.0073259454637222
2012-01-11,1.0078128962440511,1.0004000146319516
2012-01-12,0.9954645060624486,0.9953408873735909
2012-01-13,0.996917234956084,0.9926229646475155
2012-01-14,1.0,1.0
2012-01-15,1.0,1.0
2012-01-16,0.9981994100656569,1.0005522402717808
2012-01-17,1.0296005226117637,1.035493416460228
