,Date,low_adj,high_adj,open_adj,close_adj,volume,stock
3942,2016-06-16,8476.84,8584.67,8583.19,8494.14,3709135,Y9999
3943,2016-06-17,8538.28,8607.16,8538.28,8568.08,3484588,Y9999
3944,2016-06-20,8604.81,8642.15,8612.26,8625.92,3001039,Y9999
3945,2016-06-21,8627.4,8684.85,8633.21,8684.85,3377528,Y9999
3946,2016-06-22,8653.04,8716.25,8675.12,8716.25,3557068,Y9999
3947,2016-06-23,8662.78,8711.21,8706.08,8676.68,3111999,Y9999
3948,2016-06-24,8374.26,8691.3,8684.53,8476.99,5791547,Y9999
3949,2016-06-27,8386.27,8468.66,8406.29,8458.87,3268493,Y9999
3950,2016-06-28,8396.01,8505.51,8438.76,8505.51,3822915,Y9999
3951,2016-06-29,8530.37,8609.23,8530.37,8586.56,4531025,Y9999
3952,2016-06-30,8583.77,8666.58,8615.46,8666.58,4831561,Y9999
3953,2016-07-01,8680.53,8755.62,8692.48,8738.24,4252995,Y9999
3954,2016-07-04,8712.12,8782.38,8728.32,8760.58,3642526,Y9999
3955,2016-07-05,8693.76,8747.06,8738.41,8716.07,3474978,Y9999
3956,2016-07-06,8569.15,8673.53,8673.53,8575.75,4209879,Y9999
3957,2016-07-07,8605.38,8653.7,8605.38,8640.91,3349857,Y9999
3958,2016-07-11,8728.23,8795.8,8728.23,8786.47,4669541,Y9999
3959,2016-07-12,8794.3,8841.46,8794.73,8841.46,4699030,Y9999
3960,2016-07-13,8800.17,8865.42,8847.04,8857.75,4850884,Y9999
3961,2016-07-14,8818.26,8877.31,8837.76,8866.36,4422952,Y9999
3962,2016-07-15,8857.15,8949.85,8857.15,8949.85,4874982,Y9999
3963,2016-07-18,8952.61,9008.21,8952.61,9008.21,4564796,Y9999
3964,2016-07-19,8972.83,9034.87,9018.8,9034.87,4774586,Y9999
3965,2016-07-20,8969.19,9034.13,9013.52,9007.68,4447845,Y9999
3966,2016-07-21,9009.79,9075.89,9010.22,9056.56,5201516,Y9999
3967,2016-07-22,9004.24,9060.15,9055.17,9013.14,4242274,Y9999
3968,2016-07-25,8916.05,9085.91,9030.36,8991.67,4007179,Y9999
3969,2016-07-26,8960.48,9024.79,8983.55,9024.79,3925613,Y9999
3970,2016-07-27,9042.14,9084.9,9058.19,9063.39,4970935,Y9999
3971,2016-07-28,9015.35,9081.4,9060.48,9076.64,4766003,Y9999
3972,2016-07-29,8984.41,9071.51,9066.37,8984.41,3852627,Y9999
3973,2016-08-01,9008.74,9080.71,9008.74,9080.71,3871706,Y9999
3974,2016-08-02,9052.71,9086.42,9081.06,9068.76,3884166,Y9999
3975,2016-08-03,8948.4,9033.95,9000.82,9001.71,3834059,Y9999
