,Date,DailyReturn,AccReturn
3866,2016-02-24,0.005081034254465378,0.4126955540014571
3867,2016-02-25,0.013460643068833591,0.4182507015499652
3868,2016-02-26,-0.007630613298034295,0.41505919218480586
3869,2016-03-01,-0.0106154058639205,0.41065317040221316
3870,2016-03-02,0.004762808428560873,0.4126090327834201
3871,2016-03-03,0.012328144243970817,0.4176957364559394
3872,2016-03-04,-0.0017462557543636635,0.41696633287258
3873,2016-03-07,-0.0017973471990657185,0.41621689960208674
3874,2016-03-08,-0.006129136553765534,0.41366584938844064
3875,2016-03-09,-0.008871099172412106,0.4099961786142757
3876,2016-03-10,-0.009344054900360842,0.40616515181236573
3877,2016-03-11,0.0064399963091566256,0.4087808538909454
3878,2016-03-14,-0.005518667412334241,0.4065249283137913
3879,2016-03-15,0.013122125727430928,0.4118593995344597
3880,2016-03-16,-0.0020316729033350092,0.4110226359524417
3881,2016-03-17,0.019957644433785386,0.4192256795750178
3882,2016-03-18,0.001094270103248144,0.4196844257026906
3883,2016-03-21,-0.013071412327625823,0.41419855752684787
3884,2016-03-22,-0.006699698870738874,0.4114235519187236
3885,2016-03-23,0.00835764966498568,0.4148620858295844
3886,2016-03-24,0.005019721104159216,0.41694457779713867
3887,2016-03-25,-0.004594613551256928,0.41502887858986887
3888,2016-03-28,0.00457085266309068,0.41692591444483096
3889,2016-03-29,0.0025025629368187674,0.41796929778571984
3890,2016-03-30,-0.007828576248756755,0.414697193268365
3891,2016-03-31,-0.0022515014379558707,0.41376350194140504
3892,2016-04-01,-0.005486832861927222,0.41149325076188686
3893,2016-04-06,-0.028032121304539793,0.3999582220405302
3894,2016-04-07,0.006320918875311385,0.4024863255155621
3895,2016-04-08,0.0018829447281918732,0.40324418502036097
3896,2016-04-11,0.006511938007458181,0.4058700861550815
3897,2016-04-12,0.023122437926100633,0.4152547920282635
3898,2016-04-13,-0.005263836408987036,0.41306895873497873
3899,2016-04-14,-0.004117953854412551,0.4113679598242178
3900,2016-04-15,0.00642190880660187,0.41400972734816677
3901,2016-04-18,-0.0061525729368595425,0.4114625023040878
3902,2016-04-19,-2.4736155082798195e-05,0.41145232430382006
3903,2016-04-20,-0.00970717506084857,0.4074582845626098
3904,2016-04-21,-0.006341990496459298,0.4048741879942101
3905,2016-04-22,0.014833398285834881,0.4108798480803822
3906,2016-04-25,-0.0005314871531761547,0.4106614707196285
3907,2016-04-26,-0.006922298035415532,0.40781874962764514
3908,2016-04-27,0.0016394571523664964,0.40848735099359135
3909,2016-04-28,-0.006797779296634892,0.4057105441360699
3910,2016-04-29,0.001772802965874537,0.4064297889920009
3911,2016-05-03,-0.0028853731760067336,0.40525708738091326
3912,2016-05-04,0.003903647277039509,0.4068390681065687
3913,2016-05-05,-0.005534402059712745,0.4045874571300681
3914,2016-05-06,0.005277692165449952,0.4067227451828028
3915,2016-05-09,0.013588689257148814,0.41224957418090646
3916,2016-05-10,-0.011518837795512795,0.4075009382046474
3917,2016-05-11,0.0009963787912902833,0.4079069634969054
