,2010-05-31,2010-08-31,2010-11-30,2011-03-31,2011-05-31,2011-08-31,2011-11-30,2012-03-31,2012-05-31,2012-08-31,2012-11-30,2013-03-31,2013-05-31,2013-08-31,2013-11-30,2014-03-31,2014-05-31,2014-08-31,2014-11-30,2015-03-31,2015-05-31,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-31,2019-05-31,2019-08-31,2019-11-30
171,,,,,,,,1104,2316,1109,6488,2457,1102,1210,6551,1303,6679,1229,6702,2506,1259,1715,8068,8110,5318,8155,5471,3693,2906,1737,3573,8406,3028,6177,6177,6283,8482,1444,2008
172,,,,,,,,1103,6415,1108,3611,2459,1215,3354,2456,6666,3576,3016,1436,1217,8033,1611,1219,1215,3617,2601,5469,3697,3024,1726,6138,2497,3014,2350,6176,2473,1701,4532,2028
173,,,,,,,,2034,2012,4725,3682,4927,1210,3428,2458,1301,6689,4930,6715,2511,1234,1598,3558,8114,2457,3561,8234,3702,3189,1722,3591,1726,2539,2325,1903,5392,1618,6279,8926
174,,,,,,,,,,1103,3693,6540,1109,3450,2460,1264,1216,6701,1434,2548,1233,8053,4609,2721,8155,2548,1217,4975,3311,1702,8404,3566,2926,1203,6147,2020,1611,6141,2910
175,,,,,,,,,,6472,3698,1210,3260,3471,2515,1259,3584,3022,6803,2610,8042,1507,8076,2729,2485,2545,3588,8325,8329,1701,2031,4745,2913,6173,2010,2476,8916,8926,3501
176,,,,,,,,,,2104,6504,1203,5009,3494,2520,1233,1203,3036,1416,2636,5283,1503,8078,2903,5471,2498,5457,1225,3466,8404,1434,8429,8436,5274,3474,1203,1537,1416,3474
177,,,,,,,,,,,4117,1109,3311,3538,2524,1232,6702,3038,1409,2637,1232,1473,3583,2910,1203,8213,8261,1219,3545,1614,3624,8433,2908,8464,2017,6277,1531,5434,6112
178,,,,,,,,,,,,3620,5234,1109,1108,1229,3628,3094,1314,2640,1229,1436,4551,8155,2461,4944,8277,1218,3561,1604,6269,8436,8444,2008,8499,1612,1513,1325,2926
179,,,,,,,,,,,,1103,3354,3624,2617,1227,3681,3346,8028,2723,5326,1434,8096,4977,8210,1217,8287,8358,3573,1598,2475,3579,2906,8473,6107,2017,1455,1315,1110
180,,,,,,,,,,,,6552,6561,1103,2633,6699,6757,3541,1305,1203,8054,1419,1210,3008,8213,8240,1203,8359,6261,8422,8429,8444,2905,1110,8916,1618,8936,8996,6115
181,,,,,,,,,,,,1795,4104,6572,2701,1217,6803,3552,1264,4938,5340,1339,1203,3450,8215,2474,3620,8383,3591,8427,3645,2473,2841,8489,5903,5471,8938,4702,9136
182,,,,,,,,,,,,,,2327,6582,1203,4128,3588,1233,2731,5347,8076,3615,8201,5466,4979,8325,4969,1234,1535,2472,8454,8464,2010,2035,4105,8941,9105,9151
183,,,,,,,,,,,,,,,2707,1201,4205,3599,8042,8053,1217,1325,8110,3019,2476,3556,8329,3706,8411,1521,6245,8462,8466,8908,5245,1701,1434,4736,9802
184,,,,,,,,,,,,,,,,6715,8021,8033,1232,1109,5356,1315,3653,4943,5438,2466,3630,8411,8415,1503,1521,2102,2729,2227,2325,2637,1419,1307,3013
185,,,,,,,,,,,,,,,,1108,4733,3682,1229,2929,5364,1234,4152,3026,2463,1203,5443,8415,8422,1442,8446,2463,2542,8917,4992,8942,1326,4803,3015
186,,,,,,,,,,,,,,,,1103,1103,4130,1219,3553,5388,1233,8121,8234,5425,2463,8358,1217,3624,8444,8454,8473,8489,2206,4976,4104,1325,9904,3388
