,Date,DailyReturn,AccReturn
3198,2013-06-06,-0.011924189619512998,1.0020837018685504
3199,2013-06-07,-0.005908726049091501,0.9961626637959496
3200,2013-06-10,0.008119171422289085,1.004250679227793
3201,2013-06-11,0.002431046776000389,1.006692059603826
3202,2013-06-13,0.0031653279858567807,1.0098785701532298
3203,2013-06-14,-0.007802321097345091,1.0019991732795666
3204,2013-06-17,-0.0031762991951995606,0.998816524111888
3205,2013-06-18,-0.002124007677535072,0.9966950301462255
3206,2013-06-19,0.002500220270799553,0.9991869872644022
3207,2013-06-20,0.008754010557147102,1.0079338806994789
3208,2013-06-21,0.023341854671157774,1.031460926860902
3209,2013-06-24,-0.004255278569467925,1.0270717732835872
3210,2013-06-25,0.00494176408306546,1.0321473196835305
3211,2013-06-26,-0.00731355870817698,1.0245986496655375
3212,2013-06-27,-0.005445868114851414,1.0190188205488042
3213,2013-06-28,-0.014251818600949928,1.0044959491673886
3214,2013-07-01,0.011349282726478468,1.0158962576920916
3215,2013-07-02,-0.005614106481266552,1.0101929079274878
3216,2013-07-03,0.009437776191528212,1.0197268825027765
3217,2013-07-04,0.0017215811562924315,1.0214824250882582
3218,2013-07-05,-0.005001285045318984,1.0163737003116082
3219,2013-07-08,-0.002513999967446697,1.013818536862111
3220,2013-07-09,0.0012214658529008798,1.015056881585926
3221,2013-07-10,0.01544949490741537,1.0307389977087247
3222,2013-07-11,-0.00819876743982165,1.022288208375356
3223,2013-07-12,-0.009453424587002494,1.0126240838912977
3224,2013-07-15,0.005053331439254252,1.0177412090105715
3225,2013-07-16,-0.004290675525240244,1.0133744117140415
3226,2013-07-17,-0.001724052057591816,1.011627301474415
3227,2013-07-18,0.0014533289637933494,1.0130975287322117
3228,2013-07-19,-0.004548669837454727,1.0084892825608676
3229,2013-07-22,-0.00327808912703102,1.0051833648089774
3230,2013-07-23,0.002955715285200014,1.008154400644772
3231,2013-07-24,0.011524640588539954,1.0197730177699578
3232,2013-07-25,0.015574422223468764,1.0356553933208081
3233,2013-07-26,-0.0056980155237775975,1.0297542128123822
3234,2013-07-29,0.0015507945803045955,1.0313511500646575
3235,2013-07-30,-0.0032245300787936432,1.0280255272594756
3236,2013-07-31,0.0007027256649800376,1.0287479471817356
3237,2013-08-01,-0.009106059622848614,1.0193801070378157
3238,2013-08-02,-0.004493903379830884,1.014799111329466
3239,2013-08-05,0.011226973322238052,1.0261922338797929
3240,2013-08-06,0.011430737469005928,1.0379223678980054
3241,2013-08-07,-0.005795361024320322,1.031907233060819
3242,2013-08-08,-0.0011807416513886213,1.030688817210375
3243,2013-08-09,0.005173119569680529,1.0360206937009369
3244,2013-08-12,-0.0035586686484153085,1.032333839339154
3245,2013-08-13,0.00014018435134730695,1.0324785563887955
3246,2013-08-14,0.008455650971126398,1.0412088346967916
3247,2013-08-15,0.004831813242813722,1.0462397613328143
3248,2013-08-16,-0.004581104084852351,1.0414468280884375
3249,2013-08-19,-0.002710862549334913,1.038623608885049
3250,2013-08-20,0.015017656469911555,1.0542213014448243
