,Date,DailyReturn,AccReturn
4647,2019-05-03,0.0015482023025757807,1.3999559551054603
4648,2019-05-06,0.014994505349067442,1.420947602162748
4649,2019-05-07,0.004547281996081109,1.4274090516114373
4650,2019-05-08,0.007968577928366255,1.4387834718748584
4651,2019-05-09,-0.013664843634189485,1.4191227207082322
4652,2019-05-10,0.011053285801803224,1.434808689728053
4653,2019-05-13,-0.00839380807035292,1.4227651809688011
4654,2019-05-14,-0.0065206931264307115,1.413487765832733
4655,2019-05-15,0.004198794807828202,1.41942271092484
4656,2019-05-16,0.00323370583639763,1.424012706429473
4657,2019-05-17,-0.010701560592065623,1.4087735481677466
4658,2019-05-20,0.008843325670816206,1.4212317914506254
4659,2019-05-21,0.008659667284483785,1.4335391858987188
4660,2019-05-22,-0.0002910832525683544,1.433121906649803
4661,2019-05-23,-0.008353376378370827,1.421150499967469
4662,2019-05-24,-0.009610428044146333,1.407492635347629
4663,2019-05-27,-0.004898226630500607,1.4005984174389357
4664,2019-05-28,0.014137794689181088,1.4203997903066794
4665,2019-05-29,-0.011871855575822073,1.4035370091362307
4666,2019-05-30,-0.00871659401337466,1.3913029468448441
4667,2019-05-31,0.00825697564192596,1.4027909013874817
4668,2019-06-03,-0.0022798464981164425,1.3995927534633639
4669,2019-06-04,-0.0025688470189447364,1.3959974137908928
4670,2019-06-05,-0.006656226143893487,1.3867053393084101
4671,2019-06-06,-0.011419117025952667,1.370870388758334
4672,2019-06-10,0.0070275733017608425,1.3805042809025465
4673,2019-06-11,-0.01013060515113534,1.3665189371232709
4674,2019-06-12,-0.0010731342837521423,1.3650524788024474
4675,2019-06-13,0.0034069375401996975,1.369703127336822
4676,2019-06-14,-0.002543663742951581,1.366219063153208
4677,2019-06-17,0.015360498250884357,1.3872048686830978
4678,2019-06-18,0.008999425484557537,1.3996889155306267
4679,2019-06-19,0.017855039846922677,1.424680416890722
4680,2019-06-20,0.0003716627346437868,1.425209917510457
4681,2019-06-21,-0.009089368108426678,1.412255659938424
4682,2019-06-24,-0.0021497378896538095,1.4092196804363764
4683,2019-06-25,-0.007348373080496978,1.3988642084721512
4684,2019-06-26,-0.0022603311248582075,1.3957023121622913
4685,2019-06-27,0.0045128963965046995,1.4020009720974418
4686,2019-06-28,0.0011405031432734883,1.4035999586129912
4687,2019-07-01,0.01725848716981425,1.4278239704902653
